data,confirmados,descartados,mortes,analie,recuperados,Confirmados/100k hab,mortes/confirmados
2020-03-17,0,26,0,27,0,0.0,0.0
2020-03-18,1,27,0,64,0,0.01162,0.0
2020-03-19,1,32,0,74,0,0.01162,0.0
2020-03-20,2,32,0,81,0,0.02325,0.0
2020-03-21,2,76,0,234,0,0.02325,0.0
2020-03-22,4,101,0,207,0,0.0465,0.0
2020-03-23,5,169,0,206,0,0.05812,0.0
2020-03-24,5,215,0,168,0,0.05812,0.0
2020-03-25,7,260,0,133,0,0.08137,0.0
2020-03-26,13,411,0,97,0,0.15111,0.0
2020-03-27,16,451,0,122,0,0.18598,0.0
2020-03-28,18,451,0,122,0,0.20923,0.0
2020-03-29,20,451,0,122,0,0.23248,0.0
2020-03-30,26,688,0,47,0,0.30222,0.0
2020-03-31,34,786,0,31,0,0.39522,0.0
2020-04-01,41,857,1,83,0,0.47659,0.0244
2020-04-02,49,952,1,43,0,0.56958,0.0204
2020-04-03,75,1000,1,94,0,0.8718,0.0133
2020-04-04,82,1018,1,78,0,0.95317,0.0122
2020-04-05,86,1042,1,133,0,0.99967,0.0116
2020-04-06,123,1088,5,84,0,1.42976,0.0407
2020-04-07,154,1135,5,98,0,1.7901,0.0325
2020-04-08,165,1135,6,135,0,1.91797,0.0364
2020-04-09,169,1135,7,166,0,1.96446,0.0414
2020-04-10,217,1135,9,221,0,2.52242,0.0415
2020-04-11,237,1207,11,228,0,2.7549,0.0464
2020-04-12,259,1223,14,262,0,3.01062,0.0541
2020-04-13,310,1306,14,189,0,3.60345,0.0452
2020-04-14,384,1389,21,221,0,4.46363,0.0547
2020-04-15,487,1407,21,244,0,5.6609,0.0431
2020-04-16,557,1407,26,244,0,6.47459,0.0467
2020-04-17,627,1487,32,284,0,7.28827,0.051
2020-04-18,641,1487,33,353,0,7.45101,0.0515
2020-04-19,685,1549,34,328,0,7.96246,0.0496
2020-04-20,902,1599,35,284,0,10.48488,0.0388
2020-04-21,1026,1676,38,282,429,11.92626,0.037
2020-04-22,1195,1676,43,433,450,13.89072,0.036
2020-04-23,1267,1728,53,337,525,14.72765,0.0418
2020-04-24,1579,1757,86,402,606,18.35435,0.0545
2020-04-25,1745,1812,95,482,736,20.28394,0.0544
2020-04-26,2070,1859,114,593,879,24.06175,0.0551
2020-04-27,2219,1941,122,494,1002,25.79373,0.055
2020-04-28,2319,1952,132,592,1124,26.95614,0.0569
2020-04-29,2586,2029,156,325,1277,30.05975,0.0603
2020-04-30,2999,2087,224,321,1428,34.86048,0.0747
2020-05-01,3359,2168,263,353,1592,39.058139,0.0782
2020-05-02,3727,2246,306,453,1814,43.337209,0.0821
2020-05-03,4055,2288,320,616,2015,47.151162,0.0787
2020-05-04,4756,2487,344,399,2242,55.302325,0.0723
2020-05-05,4756,2487,375,242,2536,55.302325,0.0788
2020-05-06,5295,2590,406,288,2898,61.569767,0.0766
2020-05-07,5935,2692,488,372,3233,69.011627,0.0822
2020-05-08,6519,2735,574,548,3525,75.802325,0.0880
2020-05-09,6775,2844,578,545,3754,78.779096,0.0853
2020-05-10,7348,2844,672,545,4091,85.441860,0.0914
2020-05-11,8069,3002,812,755,4547,93.825581,0.1006
2020-05-12,9059,3134,914,661,5143,105.337209,0.1008
2020-05-13,10344,3213,1022,723,6023,120.279069,0.0988
2020-05-14,11479,3371,1095,412,6844,133.476744,0.0953
2020-05-15,12626,3482,1175,250,7623,146.813953,0.0930
2020-05-16,13464,3550,1223,450,8213,156.558139,0.0908
2020-05-17,14201,4664,1280,383,8938,165.127906,0.0901
2020-05-18,15467,4750,1392,234,9752,179.848837,0.0899
2020-05-19,17177,4895,1554,135,10815,199.732558,0.0904
2020-05-20,18929,4910,1778,176,11560,220.104651,0.0939
2020-05-21,20537,4929,1893,131,12754,238.802325,0.0921
