confirmados,descartados,mortes,recuperados,Confirmados/100k hab,mortes/confirmados,novos casos,novas mortes
0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,27.0,0.0,0.0,0.01162,0.0,1.0,0.0
1.0,32.0,0.0,0.0,0.01162,0.0,0.0,0.0
2.0,32.0,0.0,0.0,0.02325,0.0,1.0,0.0
2.0,76.0,0.0,0.0,0.02325,0.0,0.0,0.0
4.0,101.0,0.0,0.0,0.0465,0.0,2.0,0.0
5.0,169.0,0.0,0.0,0.05812,0.0,1.0,0.0
5.0,215.0,0.0,0.0,0.05812,0.0,0.0,0.0
7.0,260.0,0.0,0.0,0.08137,0.0,2.0,0.0
13.0,411.0,0.0,0.0,0.15111,0.0,6.0,0.0
16.0,451.0,0.0,0.0,0.18598,0.0,3.0,0.0
18.0,451.0,0.0,0.0,0.20923,0.0,2.0,0.0
20.0,451.0,0.0,0.0,0.23248,0.0,2.0,0.0
26.0,688.0,0.0,0.0,0.30222,0.0,6.0,0.0
34.0,786.0,0.0,0.0,0.39522,0.0,8.0,0.0
41.0,857.0,1.0,0.0,0.47659,0.0244,7.0,1.0
49.0,952.0,1.0,0.0,0.56958,0.0204,8.0,0.0
75.0,1000.0,1.0,0.0,0.8718,0.0133,26.0,0.0
82.0,1018.0,1.0,0.0,0.95317,0.0122,7.0,0.0
86.0,1042.0,1.0,0.0,0.99967,0.0116,4.0,0.0
123.0,1088.0,5.0,0.0,1.42976,0.0407,37.0,4.0
154.0,1135.0,5.0,0.0,1.7901,0.0325,31.0,0.0
165.0,1135.0,6.0,0.0,1.91797,0.0364,11.0,1.0
169.0,1135.0,7.0,0.0,1.96446,0.0414,4.0,1.0
217.0,1135.0,9.0,0.0,2.52242,0.0415,48.0,2.0
237.0,1207.0,11.0,0.0,2.7549,0.0464,20.0,2.0
259.0,1223.0,14.0,0.0,3.01062,0.0541,22.0,3.0
310.0,1306.0,14.0,0.0,3.60345,0.0452,51.0,0.0
384.0,1389.0,21.0,0.0,4.46363,0.0547,74.0,7.0
487.0,1407.0,21.0,0.0,5.6609,0.0431,103.0,0.0
557.0,1407.0,26.0,0.0,6.47459,0.0467,70.0,5.0
627.0,1487.0,32.0,0.0,7.28827,0.051,70.0,6.0
641.0,1487.0,33.0,0.0,7.45101,0.0515,14.0,1.0
685.0,1549.0,34.0,0.0,7.96246,0.0496,44.0,1.0
902.0,1599.0,35.0,0.0,10.48488,0.0388,217.0,1.0
1026.0,1676.0,38.0,429.0,11.92626,0.037,124.0,3.0
1195.0,1676.0,43.0,450.0,13.89072,0.036,169.0,5.0
1267.0,1728.0,53.0,525.0,14.72765,0.0418,72.0,10.0
1579.0,1757.0,86.0,606.0,18.35435,0.0545,312.0,33.0
1745.0,1812.0,95.0,736.0,20.28394,0.0544,166.0,9.0
2070.0,1859.0,114.0,879.0,24.06175,0.0551,325.0,19.0
2219.0,1941.0,122.0,1002.0,25.79373,0.055,149.0,8.0
2319.0,1952.0,132.0,1124.0,26.95614,0.0569,100.0,10.0
2586.0,2029.0,156.0,1277.0,30.05975,0.0603,267.0,24.0
2999.0,2087.0,224.0,1428.0,34.86048,0.0747,413.0,68.0
3359.0,2168.0,263.0,1592.0,39.05814,0.0782,360.0,39.0
3727.0,2246.0,306.0,1814.0,43.337208,0.0821,368.0,43.0
4055.0,2288.0,320.0,2015.0,47.15116,0.0787,328.0,14.0
4756.0,2487.0,344.0,2242.0,55.302326,0.0723,701.0,24.0
4756.0,2487.0,375.0,2536.0,55.302326,0.0788,0.0,31.0
5295.0,2590.0,406.0,2898.0,61.569767,0.0766,539.0,31.0
5935.0,2692.0,488.0,3233.0,69.01163,0.0822,640.0,82.0
6519.0,2735.0,574.0,3525.0,75.80232,0.088,584.0,86.0
6775.0,2844.0,578.0,3754.0,78.7791,0.0853,256.0,4.0
7348.0,2844.0,672.0,4091.0,85.44186,0.0914,573.0,94.0
8069.0,3002.0,812.0,4547.0,93.825584,0.1006,721.0,140.0
9059.0,3134.0,914.0,5143.0,105.33721,0.1008,990.0,102.0
10344.0,3213.0,1022.0,6023.0,120.27907,0.0988,1285.0,108.0
11479.0,3371.0,1095.0,6844.0,133.47675,0.0953,1135.0,73.0
12626.0,3482.0,1175.0,7623.0,146.81395,0.093,1147.0,80.0
13464.0,3550.0,1223.0,8213.0,156.55814,0.0908,838.0,48.0
14201.0,4664.0,1280.0,8938.0,165.1279,0.0901,737.0,57.0
15467.0,4750.0,1392.0,9752.0,179.84883,0.0899,1266.0,112.0
17177.0,4895.0,1554.0,10815.0,199.73256,0.0904,1710.0,162.0
18929.0,4910.0,1778.0,11560.0,220.10464,0.0939,1752.0,224.0
20537.0,4929.0,1893.0,12754.0,238.80232,0.0921,1608.0,115.0
